"symbol","log2FC","pvalue","padj"
"ADSSL1",-0.578401591260595,0.0793993749895103,0.314458417270459
"ADTRP",-0.105439660776117,0.212866783890312,0.503220921828007
"AEBP1",-0.174569679661193,0.593201083215668,0.784129360033552
"AEBP2",-0.210271548042662,0.00778653841684785,0.103736286940948
"AEN",-0.15049463332822,0.497032209227632,0.713760729633474
"AES",0.345277674378537,0.00178681958022172,0.0552946683471797
"AFAP1",-0.585038983117687,0.012086157958905,0.127132102755464
"AFAP1-AS1",-0.0440555916418975,0.00576645389720999,0.0910359586014451
"AFAP1L1",1.41742231483518,0.000326872854493544,0.0282402532151104
"AFAP1L2",-0.185740104645408,0.0793245773775433,0.314391680084426
"AFF1",-0.0726354378335561,0.328139810321188,0.632969171284309
"AFF2",-0.00920538273613404,0.63575673036684,0.812100453394844
"AFF3",-0.0897427557134279,0.20784249126632,0.497439775279514
"AFF4",-0.00986260619990009,0.890841225372554,0.951343347838558
"AFG3L1P",-0.167231751191849,0.14452390219922,0.426978028159284
"AFG3L2",0.227633353152012,0.0084287741911147,0.107979431529415
"AFM",0.00523181888681553,0.391002218955771,0.632969171284309
"AFMID",0.250940518858215,0.136305927058916,0.415459439533087
"AFP",-0.0606148968474546,0.390417612994951,0.632969171284309
"AFTPH",0.0366638807822031,0.663648208365961,0.830174752261316
"AGA",-0.151811329964074,0.498187649939404,0.71452241984667
"AGAP1",-0.0239905699291989,0.830029903261739,0.92295924388373
"AGAP11",-0.209039401773641,0.158899072447192,0.446959700960882
"AGAP2",0.01651880528092,0.381385215840609,0.632969171284309
"AGAP3",0.144099362460175,0.335002627826842,0.632969171284309
"AGAP4",-0.121219314817655,0.281889912102791,0.584658329968586
"AGAP5",-0.145601640796284,0.0417380631563708,0.226574726084053
"AGAP6",0.0190304869037328,0.85747509130367,0.935447752776811
"AGAP7",-0.0167767460057813,0.707608466859653,0.855841607228684
"AGAP8",-0.0688930425773358,0.158608480196847,0.446675883298978
"AGAP9",-0.137605294001462,0.120384820166019,0.389601764380752
"AGBL2",0.00942214601064756,0.874058739145806,0.943063376446791
"AGBL3",-0.0340504111957647,0.498995217524617,0.715311135013159
"AGBL5",-0.146958210771205,0.183599121881434,0.474313985989512
"AGER",-0.0103010634457619,0.694434000373557,0.847834929362854
"AGFG1",0.404741129344399,0.0137121869382181,0.133888189743509
"AGFG2",-0.0893410401622619,0.592994119006002,0.784118668188164
"AGGF1",0.00540243828980991,0.893787343434113,0.952649241225922
"AGK",0.0537710164673402,0.598357640756681,0.787517431292519
"AGL",0.352185368506245,0.0745899493854985,0.303831707473858
"AGMAT",-0.0317601688586421,0.656066484915179,0.825082253791599
